OCC_CODE,AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE
17-3031,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-0000,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-1000,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-1010,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-1011,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-1012,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-1013,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-1020,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-1021,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-1022,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-1023,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-1029,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-1030,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-1031,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-1032,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-1040,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-1041,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-1042,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-1090,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-1099,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-2000,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-2010,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-2011,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-2012,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-2020,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-2021,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-2030,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-2031,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-2032,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-2040,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-2041,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-2042,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-2043,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-2090,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-2099,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-3000,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-3010,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-3011,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-3020,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-3022,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-3030,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-3032,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-3033,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-3034,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-3039,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-3040,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-3041,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
19-3050,99,U.S.,1,US,0,Cross-industry,cross-industry,1235
